key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
CAPSULEGUT_DESC,Increases your Guts by [ItemValue].,Augmente de [ItemValue] votre fougue.,Aumenta la Combattività di [ItemValue].,ガッツを　[ItemValue]あげる。,용기가 [ItemValue]만큼 증가한다.,Aumenta tu coraje en [ItemValue].,Aumenta tus agallas en [ItemValue].,Aumenta a Coragem em [ItemValue].,Zwiększa poziom odwagi o [ItemValue].,Erhöht deinen Mut um [ItemValue].,Повышает дерзость на [ItemValue] единиц[ItemValArt1].,Підвищує сміливість на [ItemValue].,
CAPSULEGUT_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki Odwagi,Kapsułce Odwagi,Kapsułkę Odwagi,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула дерзости,капсулы дерзости,капсуле дерзости,капсулу дерзости,капсуле дерзости,,а,ена,ась,ит,её","капсула сміливості,капсули сміливості,капсулі сміливості,капсулу сміливості,,,ла,а,е,ить,її",
CAPSULEHP_NAME,HP Capsule,Capsule de PV,Capsula PS,フィジカルカプセル,HP 캡슐,Cápsula de PV,Cápsula PV,Cápsula de HP,Kapsułka HP,KP-Kapsel,Капсула ОЗ,Капсула здоров'я,
CAPSULEHP_DESC,Increases your maximum HP by [ItemValue].,Augmente de [ItemValue] votre maximum de PV.,Aumenta i PS massimi di [ItemValue].,さいだいHPを　[ItemValue]あげる。,최대 HP가 [ItemValue]만큼 증가한다.,Aumenta tus PV máximos en [ItemValue].,Aumenta tus PV máximos en [ItemValue].,Aumenta o HP máximo em [ItemValue].,Zwiększa maksymalne HP o [ItemValue].,Erhöht deine maximalen KP um [ItemValue].,Повышает максимальное количество ОЗ на [ItemValue] единиц[ItemValArt1].,Підвищує максимальні ОЗ на [ItemValue].,
CAPSULEHP_ART,"The ,the ,An ,an ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki HP,Kapsułce HP,Kapsułkę HP,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула ОЗ,капсулы ОЗ,капсуле ОЗ,капсулу ОЗ,капсуле ОЗ,,а,ена,ась,ит,её","капсула здоров'я,капсули здоров'я,капсулі здоров'я,капсулу здоров'я,,,ла,а,е,ить,її",
CAPSULEIQ_NAME,IQ Capsule,Capsule de QI,Capsula QI,ウィズダムカプセル,IQ 캡슐,Cápsula de IQ,Cápsula CI,Cápsula de QI,Kapsułka IQ,IQ-Kapsel,Капсула IQ,Капсула IQ,
CAPSULEIQ_DESC,Increases your IQ by [ItemValue].,Augmente de [ItemValue] votre QI.,Aumenta il QI di [ItemValue].,ＩＱを　[ItemValue]あげる。,IQ가 [ItemValue]만큼 증가한다.,Aumenta tu IQ en [ItemValue].,Aumenta tu CI en [ItemValue].,Aumenta o QI em [ItemValue].,Zwiększa IQ o [ItemValue].,Erhöht deinen IQ um [ItemValue].,Повышает IQ на [ItemValue] единиц[ItemValArt1].,Підвищує IQ на [ItemValue].,
CAPSULEIQ_ART,"The ,the ,An ,an ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki IQ,Kapsułce IQ,Kapsułkę IQ,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула IQ,капсулы IQ,капсуле IQ,капсулу IQ,капсуле IQ,,а,ена,ась,ит,её","капсула IQ,капсули IQ,капсулі IQ,капсулу IQ,,,ла,а,е,ить,її",
CAPSULEOFE_NAME,Offense Capsule,Capsule d'attaque,Capsula Attacco,オフェンスカプセル,오펜스 캡슐,Cápsula de ofensa,Cápsula fuerza,Cápsula de Ataque,Kapsułka Ofensywy,Angriffskapsel,Капсула атаки,Капсула атаки,
CAPSULEOFE_DESC,Increases your Offense by [ItemValue].,Augmente de [ItemValue] votre attaque.,Aumenta l'Attacco di [ItemValue].,オフェンスを　[ItemValue]あげる。,오펜스가 [ItemValue]만큼 증가한다.,Aumenta tu ofensa en [ItemValue].,Aumenta tu fuerza en [ItemValue].,Aumenta o Ataque em [ItemValue].,Zwiększa ofensywę o [ItemValue].,Erhöht deinen Angriff um [ItemValue].,Повышает атаку на [ItemValue] единиц[ItemValArt1].,Підвищує атаку на [ItemValue].,
CAPSULEOFE_ART,"The ,the ,An ,an ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki Ofensywy,Kapsułce Ofensywy,Kapsułkę Ofensywy,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула атаки,капсулы атаки,капсуле атаки,капсулу атаки,капсуле атаки,,а,ена,ась,ит,её","капсула атаки,капсули атаки,капсулі атаки,капсулу атаки,,,ла,а,е,ить,її",
CAPSULEPP_NAME,PP Capsule,Capsule de PP,Capsula PP,サイコカプセル,PP 캡슐,Cápsula de PP,Cápsula PP,Cápsula de PP,Kapsułka PP,PP-Kapsel,Капсула ОП,Капсула ПСИ,
CAPSULEPP_DESC,Increases your maximum PP by [ItemValue].,Augmente de [ItemValue] votre maximum de PP.,Aumenta i PP massimi di [ItemValue].,さいだいＰＰを　[ItemValue]あげる。,최대 PP가 [ItemValue]만큼 증가한다.,Aumenta tu PP máximo en [ItemValue].,Aumenta tus PP máximos en [ItemValue].,Aumenta o PP máximo em [ItemValue].,Zwiększa maksymalne PP o [ItemValue].,Erhöht deine maximalen PP um [ItemValue].,Повышает максимальное количество ОП\nна [ItemValue] единиц[ItemValArt1].,Підвищує максимальні ОП на [ItemValue].,
CAPSULEPP_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki PP,Kapsułce PP,Kapsułkę PP,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула ОП,капсулы ОП,капсуле ОП,капсулу ОП,капсуле ОП,,а,ена,ась,ит,её","капсула ПСИ,капсули ПСИ,капсулі ПСИ,капсулу ПСИ,,,ла,а,е,ить,її",
CAPSULESPD_NAME,Speed Capsule,Capsule de vitesse,Capsula Velocità,スピードカプセル,스피드 캡슐,Cápsula de velocidad,Cápsula velocidad,Cápsula de Agilidade,Kapsułka Szybkości,Geschwindigkeitskapsel,Капсула скорости,Капсула швидкості,
CAPSULESPD_DESC,Increases your Speed by [ItemValue].,Augmente de [ItemValue] votre vitesse.,Aumenta la Velocità di [ItemValue].,スピードを　[ItemValue]あげる。,스피드가 [ItemValue]만큼 증가한다.,Aumenta tu velocidad en [ItemValue].,Aumenta tu velocidad en [ItemValue].,Aumenta a Agilidade em [ItemValue].,Zwiększa szybkość o [ItemValue].,Erhöht deine Geschwindigkeit um [ItemValue].,Повышает скорость на [ItemValue] единиц[ItemValArt1].,Підвищує швидкість на [ItemValue].,
CAPSULESPD_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki Szybkości,Kapsułce Szybkości,Kapsułkę Szybkości,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула скорости,капсулы скорости,капсуле скорости,капсулу скорости,капсуле скорости,,а,ена,ась,ит,её","капсула швидкості,капсули швидкості,капсулі швидкості,капсулу швидкості,,,ла,а,е,ить,її",
CASHCARD_NAME,Cash Card,Carte bancaire,Carta di credito,キャッシュカード,현금 카드,Tarjeta de crédito,Tarjeta de crédito,Cartão,Karta Bankomatowa,Bankkarte,Банковская карта,Платіжна картка,
CASHCARD_DESC,Use it for all your banking needs.,Utilisez-la pour toutes vos opérations bancaires.,Per tutte le tue necessità bancarie.,これが　あれば　ＡＴＭから　おかねを\nひきだすことが　できます。,ATM에서 현금을 뽑을 수 있다.,Utilízala para todas tus actividades bancarias.,Utilízala para todas tus actividades bancarias.,Use para todas as suas necessidades financeiras.,Użyj jej do wszystkich swoich potrzeb bankowych.,Benutze sie für all deine Tätigkeiten in der Bank.,Удобный способ распоряжаться финансами.,Користуйтеся нею для усіх своїх платіжних потреб.,
CASHCARD_ART,"The ,the ,The ,the ,this ,it,was","La ,la ,La ,la ,cette ,e,a,votre ,la ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"는,가,를,와,로","La ,la ,La ,la ,esta ,a,,","La ,la ,La ,la ,esta ,a,,","O ,o ,O ,o ,esse ,este ,o,seu ,foi",",Karty Bankomatowej,Karcie Bankomatowej,Kartę Bankomatową,a","Die ,die ,Die ,die ,die ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","банковская карта,банковской карты,банковской карте,банковскую карту,банковской карте,,а,ена,ась,ит,её","платіжна картка,платіжної картки,платіжній картці,платіжну картку,,,ла,а,е,ить,її",
COINMAGIC_NAME,Magic Coin,Pièce magique,Moneta magica,まふうじのコイン,마법봉인의 코인,Moneda mágica,Moneda mágica,Moeda Mágica,Moneta Magii,Magische Münze,Монета магии,Монета чар,
COINMAGIC_DESC,Forged with pure magic.\nOther @ Defense +[ItemValue].,En magie pure forgée.\nAutre @ Défense +[ItemValue].,Forgiata con pura magia.\nAltro @ Difesa +[ItemValue].,,순수한 마법으로 정제되어있다.\n기타 ＠ 디펜스 +[ItemValue].,Forjada con magia pura.\nOtro @ Defensa +[ItemValue].,Forjada con magia pura.\nOtro @ Defensa +[ItemValue].,Forjada com pura magia.\nOutro @ Defensa +[ItemValue].,,Geschmiedet mit reiner Magie.\nAnderes @ Verteidigung +[ItemValue],Выкована чистой магией.\nПрочее @ Защита +[ItemValue].,Викувана з чистої магії.\nІнше @ Захист +[ItemValue].,
COINMAGIC_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"은,이,을,과,으로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Monety Magii,Monecie Magii,Monetę Magii,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","монета магии,монеты магии,монете магии,монету магии,монете магии,,а,ена,ась,ит,её","монета чар,монети чар,монеті чар,монету чар,,,ла,а,е,ить,її",
COINPEACE_NAME,Peace Coin,Pièce de paix,Moneta pacifica,やすらぎのコイン,평온의 코인,Moneda de la paz,Moneda de la paz,Moeda da Paz,Moneta Pokoju,Friedvolle Münze,Монета мира,Монета миру,
COINPEACE_DESC,Its essence emanates with serenity.\nOther @ Defense +[ItemValue].,Une grande sérénité s'en dégage.\nAutre @ Défense +[ItemValue].,Emana tranquillità.\nAltro @ Difesa +[ItemValue].,,그 본질엔 평온함이 감돌고 있다.\n기타 ＠ 디펜스 +[ItemValue].,Su esencia emana sinceridad.\nOtro @ Defensa +[ItemValue].,Irradia serenidad.\nOtro @ Defensa +[ItemValue].,Emana paz e tranquilidade.\nOutro @ Defensa +[ItemValue].,,Ihre Essens strahlt in Serenität\nAnderes @ Verteidigung +[ItemValue],От неё веет спокойствием.\nПрочее @ Защита +[ItemValue].,Її єство сяє рiвновагою.\nІнше @ Захист +[ItemValue].,
COINPEACE_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"은,이,을,과,으로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Monety Pokoju,Monecie Pokoju,Monetę Pokoju,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","монета мира,монеты мира,монете мира,монету мира,монете мира,,а,ена,ась,ит,её","монета миру,монети миру,монеті миру,монету миру,,,ла,а,е,ить,її",
COINPROTECT_NAME,Protection Coin,Pièce protectrice,Moneta protettiva,まもりのコイン,수호의 코인,Moneda protectora,Moneda protectora,Moeda Protetora,Moneta Ochrony,Behütende Münze,Монета защиты,Монета захисту,
COINPROTECT_DESC,"Give it your trust, and it will protect you.\nOther @ Defense +[ItemValue].",Faites-lui confiance et elle vous protègera.\nAutre @ Défense +[ItemValue].,"Fidati di lei, e ti proteggerà.\nAltro @ Difesa +[ItemValue].",,"신뢰를 줄때, 비로소 당신을 보호한다.\n기타 ＠ 디펜스 +[ItemValue].","Dale tu confianza, y te protegerá.\nOtro @ Defensa +[ItemValue].","Dale tu confianza, y te protegerá.\nOtro @ Defensa +[ItemValue].","Confie nela, e ela te protegerá.\nOutro @ Defensa +[ItemValue].",,Gib ihr dein Vertrauen und sie wird dich behüten.\nAnderes @ +[ItemValue],"Доверься ей, и она тебя защитит.\nПрочее @ Защита +[ItemValue].","Довірся їй, і вона тебе захистить.\nІнше @ Захист +[ItemValue].",
COINPROTECT_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"은,이,을,과,으로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Monety Ochrony,Monecie Ochrony,Monetę Ochrony,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","монета защиты,монеты защиты,монете защиты,монету защиты,монете защиты,,а,ена,ась,ит,её","монета захисту,монети захисту,монеті захисту,монету захисту,,,ла,а,е,ить,її",
COURAGEBADGE_NAME,Courage Badge,Badge du courage,Medaglia del coraggio,ゆうきのバッヂ,용기의 배지,Broche de valentía,Broche del coraje,Brasão da Bravura,Odznaka Odwagi,Mut-Orden,Значок Мужества,Значок хоробрості,
COURAGEBADGE_DESC,A gift from [Pippi].\nYou can feel more courageous while holding it.,Un cadeau d[fr_eli][Pippi]. Vous vous sentez plus courageux lorsque vous le portez.,Un regalo di [Pippi].\nAverla ti riempie di coraggio.,[Pippi]からの　プレゼント。\nもっているだけで　ゆうきが　わいてくる。,[Pippi]의 선물.\n지니고 있으면 용기가 샘솟는다.,Un regalo de [Pippi].\nTe sientes más valiente al sostenerlo.,Un regalo de [Pippi].\nTe sientes más valiente al sostenerlo.,Um presente da [Pippi]. Você se sente mais corajoso quando o segura.,"Prezent od [pl_decl:Pippi:F:1].\nTrzymając ją, poczujesz się odważniejszy.","Ein Geschenk von [Pippi].\nDu fühlst dich mutiger, während du ihn hältst.","Подарок от [ru_decl:Pippi:F:1]. Держа его,\nты чувствуешь себя мужественнее.","Подарунок від [uk_decl:Pippi:F:1].\nТримаючи його, ти почуваєшся хоробріше.",
COURAGEBADGE_ART,"The ,the ,The ,the ,this ,it,was","Le ,le ,Le ,le ,ce ,,on,votre ,le ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"는,가,를,와,로","El ,el ,El ,el ,este ,o,,","El ,el ,El ,el ,este ,o,,","O ,o ,O ,o ,esse ,este ,o,seu ,foi",",Odznaki Odwagi,Odznace Odwagi,Odznakę Odwagi,a","Der ,der ,Der ,der ,den ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","значок Мужества,значка Мужества,значку Мужества,значок Мужества,значке Мужества,,,ён,ся,ит,его","значок хоробрості,значка хоробрості,значку хоробрості,значок хоробрості,,,в,ий,е,ить,його",
CRUMBS_NAME,Crumbs,Miettes de pain,Briciole,パンくず,부스러기,Migajas,Migas,Migalhas,Okruchy,Krümel,Крошки,Крихти,
CRUMBS_DESC,You can throw them at enemies to quickly run away from battle while they're busy eating.,"À lancer pour fuir les combats rapidement, l'ennemi étant trop occupé à les manger.",Puoi lanciarle ai nemici per fuggire dalla battaglia mentre mangiano.,てきになげると　たべているすきに\nにげだすことができる。,적에게 던져 도망칠 수 있다.\n빵에 눈길이 간 틈에 도망치는 원리다.,Puedes lanzarlas a los enemigos para que huyan rápidamente de la batalla mientras comen.,Puedes lanzárselas a los enemigos para huir de la batalla mientras se las comen.,Você pode jogá-las nos inimigos para fugir das batalhas enquanto eles estão comendo.,"Możesz rzucać nimi we wrogów, aby szybko uciec z walki, gdy są zajęci jedzeniem.","Du kannst sie zu Gegnern werfen, um schnell zu fliehen, während sie die Krümel essen.","Бросив их во время битвы, ты сможешь отвлечь противников едой и сбежать.","Киньте їх щоб втекти, поки вороги їх поїдають.",
CRUMBS_ART,"The ,the ,Some ,some ,these ,them,were","Les ,les ,Des ,des ,ces ,es,es,vos ,les ,de ,ont","Le ,le ,Delle ,delle ,queste ,e,ue,le",,"는,가,를,와,로","Las ,las ,Unas ,unas ,estas ,as,s,n","Las ,las ,Unas ,unas ,estas ,as,s,n","As ,as ,Umas ,umas ,essas ,estas ,as,suas ,foram",",Okruchów,Okruchom,Okruchy,y","Die ,die ,Einige ,einige ,einige ,Die ,die ,Deine ,deine ,diese ,sie,alten,wurden,waren","крошки,крошек,крошкам,крошки,крошках,,и,ены,ись,ат,их","крихти,крихт,крихтам,крихти,,,ли,і,ють,ять,їх",
DENTURES_NAME,Dentures,Dentier,Dentiera,いれば,틀니,Dentadura postiza,Dentadura postiza,Dentaduras,Protezy,Gebiss,Вставные челюсти,Вставні зуби,
DENTURES_DESC,,,,,,,,,,,,,
DENTURES_ART,"The ,the ,Some ,some ,these ,them,were","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"는,가,를,와,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Protez,Protezom,Protezy,y","Das ,das ,Das ,das ,das ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","вставные челюсти,вставных челюстей,вставным челюстям,вставные челюсти,вставных челюстях,,и,ены,ись,ат,их","вставні зуби,вставних зубів,вставним зубам,вставні зуби,,,ли,і,ють,ять,їх",
DOGTREATS_NAME,Dog Treats,Friandises pour chien,Biscotti per cani,イヌのおやつ,개 간식,Premios para perros,Chuches para perro,Petiscos de Cachorro,Psie Przysmaki,Hundeleckerli,Лакомство для собак,Ласощі для собак,
DOGTREATS_DESC,Dogs love these.,Les chiens adorent ça.,Ai cani piacciono un sacco.,イヌのだいこうぶつ。\nこれがきらいな　イヌなんて　そういない！,개들의 유일한 낙.,A los perros les encantan.,A los perros les encantan.,Os cães adoram.,Psy je uwielbiają.,Hunde lieben sie.,Собаки его обожают.,Собаки обожнюють їх.,
DOGTREATS_ART,"The ,the ,Some ,some ,these ,them,were","Les ,les ,Des ,des ,ces ,es,es,vos ,les ,de ,ont","I ,i ,Dei ,dei ,questi ,i,uoi,i",,"은,이,을,과,으로","Los ,los ,Unos ,unos ,estos ,os,s,n","Las ,las ,Unas ,unas ,estas ,as,s,n","Os ,os ,Uns ,uns ,esses ,estes ,os,seus ,foram",",Psich Przysmaków,Psim Przysmakom,Psie Przysmaki,y","Die ,die ,Einige ,einige ,einige ,Die ,die ,Deine ,deine ,diese ,sie,alten,wurden,waren","лакомство для собак,лакомства для собак,лакомству для собак,лакомство для собак,лакомстве для собак,,о,ено,ось,ит,его","ласощі для собак,ласощів для собак,ласощам для собак,ласощі для собак,,,ли,і,ють,ять,їх",
EAGLEFEATHER_NAME,Eagle's Feather,Plume d'aigle,Piuma d'aquila,イーグルのハネ,독수리 깃털,Pluma de águila,Pluma de águila,Pena da Águia,Pióro Orła,Adlerfeder,Орлиное перо,Перо орла,
EAGLEFEATHER_DESC,A feather dropped by a bald eagle.\nIt gives you the power to jump long distances.,Une plume qu'un aigle a laissée derrière lui. Vous\nconfère le pouvoir d'effectuer de grands sauts.,La piuma di un'aquila calva.\nTi dà il potere di saltare lontano.,イーグルがおとしたハネ。\nとくていのばしょで　ジャンプができる。,독수리의 깃털이다.\n더 높게 점프할 수 있게 해준다.,Una pluma dejada por una águila calva.\nTe da el poder de saltar a largas distancias.,Una pluma que ha dejado caer un águila calva.\nTe da el poder de saltar largas distancias.,Uma pena que caiu de uma águia careca.\nDá o poder de pular longas distâncias.,Pióro upuszczone przez orła bielika.\nDaje moc skakania na duże odległości.,"Eine Feder vom Weißkopfadler.\nGibt dir die Kraft, weit zu springen.","Перо, сброшенное белоголовым орлом. Позволяет прыгать на большие расстояния.","Пір'їна, залишена білоголовим орлом.\nДає змогу далеко стрибати.",
EAGLEFEATHER_ART,"The ,the ,The ,the ,this ,it,was","La ,la ,La ,la ,cette ,e,a,votre ,la ,de ,a","La ,la ,La ,la ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,La ,la ,esta ,a,,","La ,la ,La ,la ,esta ,a,,","A ,a ,A ,a ,essa ,esta ,a,sua ,foi",",Pióra Orła,Pióru Orła,Pióro Orła,o","Die ,die ,Die ,die ,die ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","орлиное перо,орлиного пера,орлиному перу,орлиное перо,орлином пере,,о,ено,ось,ит,его","перо орла,пера орла,перу орла,перо орла,,,ло,е,е,ить,його",
ERROR_NAME,Error,Erreur,Errore,エラー,에러,Error,Error,Erro,Błąd,Fehler,Ошибка,Помилка,
ERROR_DESC,"wow lookie, error, report please","oh tiens tiens, une erreur, merci de signaler","ma guarda, un errore, segnalalo per favore",みてみて！エラーメッセージだよ！,동네 사람들 여기 에러예요!\n만약 이 아이템을 얻었다면 제보해 주세요.,"wow mira, un error, reportalo porfavor","wow mira, un error, repórtalo porfavor","Uau olha só, um erro.\nPode reportar, por favor? Na moral.","ups, weź to zgłoś plis","Wow, siehe da, ein Fehler, bitte melden","опа, а вот и ошибочка...\nсообщи о ней пж","ого, подивись-но, помилочка, повідомте про неї будь-ласка",
ERROR_ART,"The ,the ,An ,an ,this ,it,was","L',l',Une ,une ,cette ,e,on,votre ,la ,d',a","Il ,il ,Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Błędu,Błędowi,Błąd,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","ошибка,ошибки,ошибке,ошибку,ошибке,,а,ена,ась,ит,её","помилка,помилки,помилці,помилку,,,ла,а,е,ить,її",
EYEDROPS_NAME,Eye Drops,Gouttes pour les yeux,Collirio,めぐすり,안약,Gotas para los ojos,Colirio,Colírio,Krople do Oczu,Augentropfen,Глазные капли,Очні краплі,
EYEDROPS_DESC,Cures blindness ([Blinded]).,Guérit l'aveuglement ([Blinded]).,Cura la cecità ([Blinded]).,めの　トラブルに　これいっぽん。\nつかうと　[Blinded]もうもくを　かいふくする。,시야방해([Blinded])를 회복한다.,Cura la ceguera ([Blinded]).,Cura la ceguera ([Blinded]).,Cura cegueira. ([Blinded]),Leczą oślepienie ([Blinded]).,Heilt Blindheit ([Blinded]).,Лечат от слепоты ([Blinded]).,Лікують осліплення ([Blinded]).,
EYEDROPS_ART,"The ,the ,Some ,some ,these ,them,were","Les ,les ,Des ,des ,ces ,es,es,vos ,les ,de ,ont","Il ,il ,Un ,un ,questo ,o,uo,il",,"은,이,을,과,으로","Las ,las ,Unas ,unas ,estas ,as,s,n","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Kropel do Oczu,Kroplom do Oczu,Krople do Oczu,y","Die ,die ,Einige ,einige ,einige ,Die ,die ,Deine ,deine ,diese ,sie,alten,wurden,waren","глазные капли,глазных капель,глазным каплям,глазные капли,глазных каплях,,и,ены,ись,ат,их","очні краплі,очних крапель,очним краплям,очні краплі,,,ли,і,ють,ять,їх",
FLAMETHROWER_NAME,Flame Thrower,Lance-flammes,Lanciafiamme,かえんほうしゃき,화염방사기,Lanzallamas,Lanzallamas,Lança-chamas,Miotacz Ognia,Flammenwerfer,Огнемёт,Вогнемет,
FLAMETHROWER_DESC,,,,,,,,,,,,,
FLAMETHROWER_ART,"The ,the ,A ,a ,this ,it,was","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","Il ,il ,Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Miotacza Ognia,Miotaczowi Ognia,Miotacz Ognia,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","огнемёт,огнемёта,огнемёту,огнемёт,огнемёте,,,ён,ся,ит,его","вогнемет,вогнемета,вогнемету,вогнемет,,,в,ий,е,ить,його",
FLASHDARK_NAME,Flashdark,Ombre de poche,Anti-torcia,やみのライト,어둠의 라이트,Nocterna,Nocterna,Lanturna,Ladarka,Schattenlampe,Темнарик,Темнарик,
FLASHDARK_DESC,,,,,,,,,,,,,
FLASHDARK_ART,"The ,the ,A ,a ,this ,it,was","L',l',Une ,une ,cette ,e,on,votre ,la ,d',a","L',l',Dell',dell',quest',a,ua,la",,"는,가,를,와,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Ladarki,Ladarce,Ladarkę,a","Die ,die ,Die ,die ,die ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","темнарик,темнарика,темнарику,темнарик,темнарике,,,ён,ся,ит,его","темнарик,темнарика,темнарику,темнарик,,,в,ий,е,ить,його",
FLEABAG_NAME,Flea Bag,Sachet de puces,Sacco di pulci,ノミとシラミ,벼룩과 진드기,Bolsa de pulgas,Saco de pulgas,Saco de Pulgas,Worek Pcheł,Flohbeutel,Пакетик блох,Пакет бліх,
FLEABAG_DESC,,,,,,,,,,,,,
