key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
CROCODILE_DESC,"If he smiles, don't smile back.","Si ce crocodile vous sourit, ne lui souriez pas en retour.",Non ricambiare il suo sorriso.,ワニに　わらいかえしたり　するなよ。,"악어가 웃어줘도, 웃음을 보이지 말아라.","Si él te sonríe, no le devuelvas la sonrisa.","Si te sonríe, no le sonrías de vuelta.","Se ele sorrir, não sorria de volta.","Jeśli się szczerzy, nie odwzajemniaj uśmiechu.","Wenn es lächelt, lache nicht zurück.",Не улыбайся ему в ответ.,
CROCODILE_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Krokodyla,Krokodylowi,Krokodyla,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Zähe Krokodil,Zähen Krokodils,Zähen Krokodil,Zähe Krokodil","крокодил,крокодила,крокодилу,крокодила,крокодиле,,,ён,ся,ет,его","крокодил,крокодила,крокодилу,крокодила,крокодилі,,в,ий,е,ить,його"
CROW_NAME,Crow,Corbeau,Corvo,カラス,까마귀,Cuervo,Cuervo,Corvo,Kruk,Krähe,Ворона,Ворона
CROW_DESC,"Watch your wallet and count your change, he's a thief.",Surveillez vos objets ¦ C'est un voleur...,"Attento al portafogli e conta gli spiccioli, questo qui è un ladro.",もちものは　だいじょうぶ？　こいつは　どろぼうなのだ。,"지갑 속 잔돈은 무사한지 꼭 확인하자, 이 도둑놈!","Cuidado con tu villetera y cuenta tu cambio, es un ladrón.","Vigila tu cartera, está hecho todo un ladrón.","Proteja a carteira e conte o seu dinheiro, ele é um ladrão.","Pilnuj portfela i licz drobne, dobry z niego rabuś.",Pass auf deine Brieftasche auf und zähle dein Kleingeld nach. Sie ist ein Dieb.,"Следи за кошельком, ведь она — воровка.",
CROW_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Kruka,Krukowi,Kruka,,y","Die ,die ,Eine ,eine ,ihr,die ,sie,von der,,,Krähe,Krähe,Krähe,Krähe","ворона,вороны,вороне,ворону,вороне,,а,ена,ась,ет,её","ворона,ворони,вороні,ворону,вороні,,ла,а,е,ить,її"
DADSEYES_NAME,Dadseyes,Papa Zieux,Papà occhi,パパビューン,아빠 뷴,Papá ojos,Ojos Papá,Olhospai,Oczy Ojciec,Papasblick,Отцовские глазища,Таточі
DADSEYES_DESC,"Watch your step, Dadseyes are everywhere.",Ne baissez pas votre garde. Ce papa vous a à l'œil...,"Fai attenzione, il Papà occhi vede tutto.",きをぬくな。\nパパは　どこでも　みているぞ。,이 녀석은 어디에든 있으니 조심.,"Cuida tus pasos, papá ojos está en todas partes.","Anda con cautela, los Ojos Papá están en todos lados.","Tome cuidado, Olhospai está por toda parte.","Uważaj na siebie, oczy ojca są wszędzie.","Pass auf wo du hintrittst, Papasblick ist überall.",Смотри куда идёшь — они повсюду!,
DADSEYES_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,으로",",,,,de ,a ,o,el ",",,,,de ,a ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Oczego Ojca,Oczemu Ojcu,Oczego Ojca,,y",",,,,sein,,ihn,von,,,Papasblick,Papasblicks,Papasblick,Papasblick","отцовские глазища,отцовских глазищ,отцовским глазищам,отцовские глазища,отцовских глазищах,,и,ены,ись,ют,их","таточі,таточей,таточам,таточі,таточах,,ли,і,ють,ять,їх"
DOLL_NAME,Doll,Poupée,Bambola,にんぎょう,인형,Muñeca,Muñeca,Boneca,Lalka,Puppe,Кукла,Лялька
DOLL_DESC,It stares back at you.,"Elle aussi, elle vous regarde...",Ricambia il tuo sguardo.,はいごから　きみを　にらんでいる。,등 뒤에서 날 노려보고 있다.,Te mira fijamente.,Te mira fijamente.,Ela está olhando para você.,Wpatruje się w ciebie.,Sie starrt dich an.,Она уставилась на тебя.,Вона дивиться на тебе.
DOLL_ART,"The ,the ,A ,a ,its","La ,la ,Une ,une ,de la ,à la ,e,la ,se","La ,la ,Una ,una ,della ,alla ,a,la ",,"은,이,을,과,으로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jej,Lalki,Lalce,Lalkę,a,a","Die ,die ,Eine ,eine ,ihr,die ,sie,von der,,,Puppe,Puppe,Puppe,Puppe","кукла,куклы,кукле,куклу,кукле,,а,ена,ась,ет,её","лялька,ляльки,ляльці,ляльку,ляльці,,ла,а,е,ить,її"
DRAGON_NAME,Dragon,Dragon,Drago,ドラゴン,드래곤,Dragón,Dragón,Dragão,Smok,Drache,Дракон,Дракон
DRAGON_DESC,It seems to have an important secret.,Il semble garder un secret d'une grande importance.,Sembra nascondere un segreto importante.,とても　じゅうような　ひみつを　にぎっているようだ。,중요한 비밀을 가지고 있는 듯하다.,Parece tener un secreto importante.,Parece guardar un importante secreto.,Parece ter um segredo importante.,Wydaje się on skrywać ważny sekret.,Er scheint ein wichtiges Geheimnis zu haben.,"Похоже, он хранит важный секрет.",
DRAGON_ART,"The ,the ,The ,the ,its","Le ,le ,Le ,le ,du ,au ,,le ,x","Il ,il ,Il ,il ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,El ,el ,del ,al ,o,el ","El ,el ,El ,el ,del ,al ,o,el ","O ,o ,O ,o ,o,seu ","jego,Smoka,Smokowi,Smoka,,y","Der ,der ,Der ,der ,sein,den ,ihn,vom,,,Drache,Drachen,Drachen,Drachen","дракон,дракона,дракону,дракона,драконе,,,ён,ся,ет,его","дракон,дракона,дракону,дракона,драконі,,в,ий,е,ить,його"
DRDISTORTO_NAME,Dr. Distorto,Dr Distorto,Dr. Distorto,ゆがみはかせ,비뚤어진 박사,Dr. Distorto,Dr. Distorto,Dr. Distorto,Dr Distorto,Dr. Carigali,Доктор Перекос,Доктор Деформо
DRDISTORTO_DESC,His twisted face covers his twisted mind.,Son esprit est aussi tordu que son visage.,Il suo volto contorto nasconde una mente contorta.,かおだけではなく　こころも　ゆがんでいる。,비뚤어진 얼굴 속엔 비뚤어진 마음이 있는 것이다.,Su rostro retorcido cubre su mente retorcida.,Su retorcido rostro cubre su retorcida mente.,Seu rosto distorcido cobre sua mente distorcida.,Jego pokręcona twarz zakrywa jego pokręcony umysł.,Sein verzerrtes Gesicht bedeckt seine verzerrten Gedanken.,Его извращённое лицо скрывает не менее извращённый ум.,За спотвореним обличчям ховається спотворений розум.
DRDISTORTO_ART,",,,,his","Le ,le ,Le ,le ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,El ,el ,del ,al ,o,el ","El ,el ,El ,el ,del ,al ,o,el ",",,,,o,seu ","jego,Dr Distorto,Dr Distorto,Dr Distorto,,y",",,,,sein,,ihn,von,,,Dr. Carigali,Dr. Carigalis,Dr. Carigali,Dr. Carigali","доктор Перекос,доктора Перекоса,доктору Перекосу,доктора Перекоса,докторе Перекосе,,,ён,ся,ет,его","доктор Деформо,доктора Деформо,доктору Деформо,доктора Деформо,докторі Деформо,,в,ий,е,ить,його"
DUSTBALL_NAME,Dust Ball,Esprit poussiéreux,Palla di polvere,ダストゴースト,먼지 고스트,Pelusa,Pelusa,Bola de Poeira,Kula Kurzu,Staubball,Пыльтергейст,Пиляка
DUSTBALL_DESC,AHH-choooo!,Aaatchoum ¦¦,Ecciùuuu!,はーーーっくしょん！！,아~~~츄!,¡AHH-choooo!,¡AHH-choooo!,AAATCHIM!,AAA-psik!,HAA-tschiiii!,А-А-А-пчхи-и-и!,А-А-А-пчхі-і-і!
DUSTBALL_ART,"The ,the ,A ,a ,its","L',l',Un ,un ,de l',à l',,le ,x","La ,la ,Una ,una ,della ,alla ,a,la ",,"는,가,를,와,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jej,Kuli Kurzu,Kuli Kurzu,Kulę Kurzu,a,a","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Staubball,Staubballs,Staubball,Staubball","пыльтергейст,пыльтергейста,пыльтергейсту,пыльтергейста,пыльтергейсте,,,ён,ся,ет,его","пиляка,пиляки,пиляці,пилаку,пиляці,,в,ий,е,ить,його"
EAGLE_NAME,Eagle,Aigle,Aquila,イーグル,독수리,Águila,Águila,Águia,Orzeł,Adler,Орёл,Орел
EAGLE_DESC,Its quickness is the source for its pride.,Un animal aussi rapide que l'éclair.,È fiera della sua velocità nei movimenti.,すばやさが　こいつの　ごじまん。,저 날렵함이 저 독수리의 유일한 자랑거리다.,Su rapidez es la fuente de su orgullo.,Su rapidez es la fuente de su orgullo.,Sua agilidade é o seu orgulho.,Jego szybkość jest źródłem jego dumy.,Seine Schnelligkeit ist der Quell seines Stolzes.,Его скорость — его гордость.,
EAGLE_ART,"The ,the ,An ,an ,its","L',l',Un ,un ,de l',à l',,le ,x","L',l',Un',un',dell',all',a,la ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","A ,a ,Uma ,uma ,a,sua ","jego,Orła,Orłowi,Orła,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Adler,Adlers,Adler,Adler","орёл,орла,орлу,орла,орле,,,ён,ся,ет,его","орел,орла,орлу,орла,орлі,,в,ий,е,ить,його"
ELDERBATTY_NAME,Elder Batty,Batou l'Ancien,Strello senior,こうもりさま,박쥐님,Lord Murchiflado,Lord Murchiflado,Morceguinho Ancião,Starszy Nietoperek,Fledi-Ältester,Мышкинс-старожил,Стріляний Кажанчик
ELDERBATTY_DESC,Beware of its stone of origin.,Attention à ne pas vous faire pétrifier...,Attenzione alla sua pietra dell'origine.,こうもりさんに　あごで　つかわれている。\nいしのもとを　つかってくるぞ！,기원의 돌을 조심해라.,Cuidado con su piedra de origen.,Ten cuidado con su piedra de origen.,Cuidado com a sua pedra da origem.,Uważaj na kamień źródła.,Vorsicht vor seiner Stein-Materia.,Берегись его окаменяющих атак!,
ELDERBATTY_ART,"The ,the ,An ,an ,its",",,,,de ,à ,,le ,x","Lo ,lo ,Uno ,uno ,dello ,allo ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Starszego Nietoperka,Starszemu Nietoperkowi,Starszego Nietoperka,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Fledi-Ältester,Fledi-Ältesten,Fledi-Ältesten,Fledi-Ältesten","Мышкинс-старожил,Мышкинса-старожила,Мышкинсу-старожилу,Мышкинса-старожила,Мышкинсе-старожиле,,,ён,ся,ет,его","стріляний Кажанчик,стріляного Кажанчика,стріляному Кажанчику,стріляного Кажанчика,стріляному Кажанчику,,в,ий,е,ить,його"
ELDERMOOK_NAME,Elder Mook,Mook senior,Mook senior,ドムーク・シニア,도무크,Lord Mook,Lord Mook,Mook Ancião,Starszy Mook,Mook-Ältester,Мук-старший,Тертий мук
ELDERMOOK_DESC,"Not only will it attack using PSI, it is a thief!","Il ne va pas se contenter d'utiliser la PSI, il va aussi vous voler vos affaires ¦","Non solo attacca con lo PSI, ma è anche un ladro!",PSIを　つかうだけではなく　どろぼうも　するぞ！,PSI 공격을 쓸 수 있을 뿐만 아니라 아이템까지 훔친다!,"¡No sólo atacará usando PSI, sino que es un ladrón!","¡No solo te atacará usando PSI, sino que también es un ladrón!","Além de te atacar com PSI, ele é um ladrão!","Nie dość, że atakuje używając PSI, to jest jeszcze rabusiem!","Nicht greift er nur mit PSI an, auch ist er ein Dieb!","Он не только использует психоатаки, но ещё может что-то своровать.",
ELDERMOOK_ART,"The ,the ,An ,an ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Starszego Mooka,Starszemu Mookowi,Starszego Mooka,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Mook-Ältester,Mook-Ältesten,Mook-Ältesten,Mook-Ältesten","мук-старший,мука-старшего,муку-старшему,мука-старшего,муке-старшем,,,ён,ся,ет,его","тертий мук,тертого мука,тертому мукі,тертого мука,тертому муку,,в,ий,е,ить,його"
ELEPHANT_NAME,Elephant,Éléphant,Elefante,きょぞう,코끼리,Elefante,Elefante,Elefante,Słoń,Elefant,Слон,Слон
ELEPHANT_DESC,Don't let him stop and unpack his trunk!,"Ne vous y trompez pas, il n'est pas sans défense ¦",Non fargli usare la sua proboscide!,おもい　からだで　のしかかってきたり\nながい　はなで　おそってくるぞ！,코를 휘두르게 내버려두지 마!,¡No dejes que se detenga y nos aplaste a todos!,¡No dejes que se pare y saque la trompa!,Não deixe ele parar e desenrolar a sua tromba!,Nie pozwól mu się zatrzymać i rozprostować trąby!,Lass ihn nicht anhalten und seinen Rüssel rausholen!,Не дай ему остановиться и использовать свой хобот!,
ELEPHANT_ART,"The ,the ,An ,an ,its","L',l',Un ,un ,de l',à l',,le ,x","L',l',Un ,un ,dell',all',o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Słonia,Słoniowi,Słonia,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Elefant,Elefanten,Elefanten,Elefanten","слон,слона,слону,слона,слоне,,,ён,ся,ет,его","слон,слона,слону,слона,слоні,,в,ий,е,ить,його"
ENERGYROBOT_NAME,Energy Robot,Robot atomique,Robot energetico,エナジーロボ,에너지 로봇,Robot energético,Robot energético,Robô Energético,Robot Energetyczny,Energieroboter,Энергобот,Енерго-робот
ENERGYROBOT_DESC,A walking fuel supply.,C'est un distributeur de carburant ambulant.,Una fonte di energia ambulante.,あるく　ねんりょうタンクだ。,걸어 다니는 충전기.,Un suministro de combustible ambulante.,Un suministro de combustible andante.,Um suprimento de combustível ambulante.,Chodzący zapas paliwa.,Eine wandernde Tankstelle.,Ходячий топливный бак.,Ходячий запас палива.
ENERGYROBOT_ART,"The ,the ,An ,an ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Robota Energetycznego,Robotowi Energetycznemu,Robota Energetycznego,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Energieroboter,Energieroboters,Energieroboter,Energieroboter","энергобот,энергобота,энергоботу,энергобота,энергоботе,,,ён,ся,ет,его","енерго-робот,енерго-робота,енерго-роботу,енерго-робота,енерго-роботі,,в,ий,е,ить,його"
FIREBALL_NAME,Fire Ball,Boule de feu,Fiammello,ファイアボール,파이어볼,Bola de fuego,Bola de fuego,Bola de Fogo,Kula Ognia,Feuerball,Огненный шар,Вогняна куля
FIREBALL_DESC,It looks like it jumped out of a comic book.,On la croirait tout droit sortie d'une bande dessinée.,Sembra uscito da un fumetto.,マンガから　とびだして　きたような　やつだな。,만화책에서 뛰쳐나온 것처럼 생겼다.,Parece sacado de un cómic.,Parece sacada de un cómic.,Parece ter vindo de uma história em quadrinhos.,Wygląda jak wyjęta z komiksu.,"Sieht aus, wie aus einem Comicbuch entsprungen.",Он словно выcкочил из комикса.,
FIREBALL_ART,"The ,the ,A ,a ,its","La ,la ,Une ,une ,de la ,à la ,e,la ,se","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jej,Kuli Ognia,Kuli Ognia,Kulę Ognia,a,a","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Feuerball,Feuerballs,Feuerball,Feuerball","огненный шар,огненного шара,огненному шару,огненный шар,огненном шаре,,,ён,ся,ет,его","вогняна куля,вогняної кулі,вогняній кулі,вогняну кулю,вогняній кулі,,ла,а,е,ить,її"
FISH_NAME,Fish!,Roi des profondeurs,Pesce!,ちかたいがのぬし,지하 큰 강 주인,¡Pez!,¡Pez!,Peixe!,Ryba!,Tiefenkönig,Рыба!,Риба!
FISH_DESC,It seems to be guarding something.,Il semble protéger quelque chose.,Sembra stia facendo la guardia a qualcosa.,なにかを　まもっている　ようだ。,무언가를 지키고 있는 것 같다.,Parece estar protegiendo algo.,Parece estar protegiendo algo.,Parece estar guardando alguma coisa.,"Wydaje się, że czegoś strzeże.",Er scheint etwas zu bewachen.,"Кажется, она что-то охраняет.",
FISH_ART,"The ,the ,The ,the ,its","Le ,le ,Le ,le ,du ,au ,,le ,x","Il ,il ,Il ,il ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,El ,el ,del ,al ,o,el ","El ,el ,El ,el ,del ,al ,o,el ","O ,o ,O ,o ,o,seu ","jej,Ryby!,Rybie!,Rybę!,a,a","Der ,der ,Der ,der ,sein,den ,ihn,vom,,,Tiefenkönig,Tiefenkönigs,Tiefenkönig,Tiefenkönig","рыба!,рыбы!,рыбе!,рыбу!,рыбе!,,а,ена,ась,ет,её","риба!,риби!,рибі!,рибу!,рибі!,,в,ий,е,ить,його"
FLY_NAME,Fly,Mouche,Mosca,フライ,플라이,Mosca,Mosca,Mosca,Mucha,Fliege,Муха,Муха
FLY_DESC,Insecticide is effective,L'insecticide fonctionne à merveille sur elle ¦,L'insetticida è efficace.,さっちゅうざいが　よくきくぞ。,살충제가 제격이다.,El insecticida es efectivo.,El insecticida es efectivo.,Inseticida é efetivo.,Środek owadobójczy byłby tutaj skuteczny.,Insektizide sind effektiv.,Здесь не помешает аэрозоль.,
FLY_ART,"The ,the ,A ,a ,its","La ,la ,Une ,une ,de la ,à la ,e,la ,se","La ,la ,Una ,una ,della ,alla ,a,la ",,"는,가,를,와,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jej,Muchy,Musze,Muchę,a,a","Die ,die ,Eine ,eine ,ihr,die ,sie,von der,,,Fliege,Fliege,Fliege,Fliege","муха,мухи,мухе,муху,мухе,,а,ена,ась,ет,её","муха,мухи,мусі,муху,мусі,,ла,а,е,ить,її"
FOUREYES_NAME,Foureyes,Katzieux,Quattrocchi,ビュンビューン,뷴뷴,Cuatrojos,Cuatrojos,Quatrolhos,Czterooki,Vierauge,Четвероглаз,Четверочі
FOUREYES_DESC,The optometrist's favorite.,Le patient préféré de son ophtalmo.,Il preferito dell'optometrista.,めいしゃさんの　おきにいり。,매지칸트 선정 안경사들이 가장 좋아하는 눈 1위.,El favorito del optometrista.,El favorito del oculista.,O favorito de um oculista.,Ulubieniec optometrystów.,Der Liebling eines jeden Optikers.,Любимец оптометриста.,Улюбленець оптометриста.
FOUREYES_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Czworookiego,Czworookiemu,Czworookiego,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Vierauge,Vierauges,Vierauge,Vierauge","четвероглаз,четвероглаза,четвероглазу,четвероглаз,четвероглазе,,,ён,ся,ет,его","четверочі,четверочей,четверочам,четверочі,четверочах,,ли,і,ють,ять,їх"
FUGITIVE_NAME,Fugitive,Fugitif,Fuggitivo,だっそうはん,탈주범,Fugitivo,Fugitivo,Fugitivo,Uciekinier,Ausbrecher,Беглец,Втікач
FUGITIVE_DESC,He can be found on the FBI's most wanted list.,Il figure au tout début de la liste des gens les plus recherchés par le FBI.,È nella lista dei più ricercati dall'FBI.,FBIの　しめいてはいリストの\nさいしょのほうに　のっている。,FBI 지명수배 목록에서 볼 수 있다.,Se le puede encontrar en la lista de los más buscados del FBI.,Se le puede encontrar en la lista de los más buscados del FBI.,Está na lista dos mais procurados do FBI.,Można go znaleźć na liście najbardziej poszukiwanych przez FBI.,Er ist auf der Most-Wanted-List des FBIs.,Значится в списке самых опасных преступников ФБР.,Значиться у списку найнебезпечніших злочинців ФБР.
FUGITIVE_ART,"The ,the ,A ,a ,his","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Uciekiniera,Uciekinierowi,Uciekiniera,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Ausbrecher,Ausbrechers,Ausbrecher,Ausbrecher","беглец,беглеца,беглецу,беглеца,беглеце,,,ён,ся,ет,его","втікач,втікача,втікачу,втікача,втікачу,,в,ий,е,ить,його"
FUNKYFREAK_NAME,Funky Freak,Zombie de fin de soirée,,,,Zombi llamativo,,,,Komischer Kauz,Зомби-тусовщик,Вечірковий зомбі
FUNKYFREAK_DESC,,,,,,,,,,,,
FUNKYFREAK_ART,"The ,the ,A ,a ,his","Le ,le ,Un ,un ,du ,au ,,le ,x",,,,"El ,el ,Un ,un ,del ,al ,o,el ",,,,"Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Komische Kauz,Komischen Kauzes,Komischen Kauz,Komischen Kauz","зомби-тусовщик,зомби-тусовщика,зомби-тусовщику,зомби-тусовщика,зомби-тусовщике,,,ён,ся,ет,его","вечірковий зомбі,вечіркового зомбі,вечірковому зомбі,вечіркового зомбі,верчірковому зомбі,,в,ий,е,ить,його"
GABILAN_NAME,Gabilan,Gabilan,Gabilan,ガビラン,가비란,Gabilán,Gabilán,Gabilão,Gabilan,Gabilan,Габилан,Габілан
GABILAN_DESC,Something like this should not exist on the earth...,"Une telle créature ne devrait pas exister sur Terre, et pourtant...",Una creatura simile non dovrebbe esistere...,こんなやつは　ちきゅうじょうには\nそんざいしない　はずだ・・・。,이런 건 지구에 있어서는 안 될 것 같다...,Algo así no debería existir en la tierra...,Algo así no debería existir en la tierra...,Algo assim não pode ser da Terra...,Coś takiego nie powinno istnieć na świecie...,So etwas sollte nicht auf der Erde existieren ...,Откуда это существо вообще взялось на Земле?..,
GABILAN_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Gabilana,Gabilanowi,Gabilana,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Gabilan,Gabilans,Gabilan,Gabilan","габилан,габилана,габилану,габилана,габилане,,,ён,ся,ет,его","габілан,габілана,габілану,габілана,габілані,,в,ий,е,ить,його"
GANGZOMBIE_NAME,Gang Zombie,Zombie mafieux,Zombi gangster,ギャングゾンビ,갱 좀비,Zombi gángster,Zombi gángster,Zumbi Gângster,Zombie Gangster,Zombie-Gangster,Зомби-гангстер,Зомбі-гангстер
GANGZOMBIE_DESC,"Careful, his Smash Hit is quite effective.",Attention à ses attaques SMAAAASH ¦,"Attenzione, il suo Colpo Smash è piuttosto forte.",こいつの　スマッシュヒットには　ようちゅうい。,"조심해, 녀석의 스매시 히트는 꽤 아프다고.","Cuidado, su golpe Smash es bastante efectivo.","Ten cuidado, su Golpe Smash es muy efectivo.","Cuidado, seus ataques Smaaaash são bem fortes.","Uważaj, jego Miażdżący Cios jest dość skuteczny.","Vorsicht, sein Smash-Angriff ist sehr effektiv.",Поосторожнее: он весьма хорош в критических ударах.,
GANGZOMBIE_ART,"The ,the ,A ,a ,his","Le ,le ,Un ,un ,du ,au ,,le ,x","Lo ,lo ,Uno ,uno ,dello ,allo ,o,il ",,"는,가,를,와,로","La ,la ,Una ,una ,de la ,a la ,a,la ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Zombie Gangstera,Zombie Gangsterowi,Zombie Gangstera,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Zombie-Gangster,Zombie-Gangsters,Zombie-Gangster,Zombie-Gangster","зомби-гангстер,зомби-гангстера,зомби-гангстеру,зомби-гангстера,зомби-гангстере,,,ён,ся,ет,его","зомбі-гангстер,зомбі-гангстера,зомбі-гангстеру,зомбі-гангстера,зомбі-гангстері,,в,ий,е,ить,його"
GARGOYLE_NAME,Gargoyle,Gargouille,Gargoyle,ガーゴイラ,가고일,Gárgola,Gárgola,Gárgula,Gargulec,Gargoyle,Гаргулья,Горгулья
GARGOYLE_DESC,It has the awful stone of origin.,Elle a le pouvoir de changer les gens en pierre.,Ha quella terribile pietra dell'origine.,にんげんを　いしに　してしまう\nのうりょくが　ある。,기원의 돌을 쓸 수 있다.,Tiene la horrible piedra de origen.,Tiene la dichosa piedra de origen.,Ela tem a horrível pedra da origem.,Ma okropny kamień źródła.,Es hat schreckliche Stein-Materia.,Умеет обращать людей в камень.,
GARGOYLE_ART,"The ,the ,A ,a ,its","La ,la ,Une ,une ,de la ,à la ,e,la ,se","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jego,Gargulca,Gargulcowi,Gargulca,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Gargoyle,Gargoyles,Gargoyle,Gargoyle","гаргулья,гаргульи,гаргулье,гаргулью,гаргулье,,а,ена,ась,ет,её","горгулья,горгульї,горгульї,горгулью,горгульї,,ла,а,е,ить,її"
GHOST_NAME,Ghost,Fantôme,Fantasma,ゴースト,고스트,Fantasma,Fantasma,Fantasma,Duch,Geist,Призрак,Привид
GHOST_DESC,Just an ordinary ghost.,Un fantôme plutôt banal.,Un fantasma qualunque.,わりと　へいぼんな　おばけです。,그냥 평범한 고스트이다.,Solo un ordinario fantasma.,Solo un fantasma ordinario.,Quem você vai chamar?,"Duch, jaki jest, każdy widzi.",Nur ein gewöhnlicher Geist,Самый обыкновенный призрак.,Звичайнісінький привид.
GHOST_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Ducha,Duchowi,Ducha,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Geist,Geists,Geist,Geist","призрак,призрака,призраку,призрака,призраке,,,ён,ся,ет,его","привид,привида,привиду,привид,привиді,,в,ий,е,ить,його"
GHOSTOFBARBOT_NAME,Ghost of Barbot,Fantôme de Barbot,Fantasma di Barbot,バーボット・センゾ,선조 바보트,Fantasma de Barbot,Fantasma de Barbot,Fantasma do Bar-bô,Duch Barbota,Geist eines Barbots,Призрак прутобота,Привид стержнебота
